temp,core freq,arm freq,volt,sec
59.0,200.008304,600.16992,0.835,0
58.0,500.000992,1500.345728,0.8563,2
58.0,500.000992,1500.398464,0.8563,4
58.0,200.008304,600.117184,0.835,6
59.0,500.000992,1500.345728,0.8563,8
59.0,500.000992,1500.398464,0.8563,10
58.0,199.99512,600.16992,0.835,12
58.0,500.000992,1500.398464,0.8563,14
58.0,500.000992,1500.398464,0.8563,16
58.0,199.99512,600.16992,0.835,18
59.0,499.987808,1500.398464,0.8563,20
59.0,500.000992,1500.345728,0.8563,22
58.0,199.99512,600.117184,0.835,24
59.0,500.000992,1500.398464,0.8563,26
59.0,500.000992,1500.345728,0.8563,28
57.0,200.008304,600.16992,0.835,30
59.0,500.000992,1500.345728,0.8563,32
59.0,500.000992,1500.345728,0.8563,34
58.0,199.99512,600.117184,0.835,36
57.0,500.000992,1500.345728,0.8563,38
58.0,500.000992,1500.345728,0.8563,40
59.0,499.987808,1500.398464,0.8563,42
58.0,250.000496,750.146496,0.8563,44
58.0,200.008304,600.16992,0.835,46
58.0,500.000992,1500.345728,0.8563,48
58.0,500.000992,1500.345728,0.8563,50
59.0,200.008304,600.16992,0.835,52
58.0,200.008304,600.16992,0.835,54
58.0,500.000992,1500.398464,0.8563,56
59.0,500.000992,1500.345728,0.8563,58
58.0,500.000992,1500.345728,0.8563,60
59.0,500.000992,1500.345728,0.8563,62
58.0,500.000992,1500.345728,0.8563,64
58.0,500.000992,1500.345728,0.8563,66
59.0,500.000992,1500.345728,0.8563,68
58.0,199.99512,600.117184,0.835,70
59.0,500.000992,1500.398464,0.8563,72
60.0,500.000992,1500.345728,0.8563,74
61.0,500.000992,1500.345728,0.8563,76
61.0,499.987808,1500.345728,0.8563,78
59.0,500.000992,1500.398464,0.8563,80
59.0,199.99512,600.117184,0.835,82
59.0,500.000992,1500.345728,0.8563,84
58.0,500.000992,1500.345728,0.8563,86
58.0,200.008304,600.16992,0.835,88
58.0,199.99512,600.117184,0.835,90
58.0,200.008304,600.117184,0.835,92
59.0,500.000992,1500.398464,0.8563,94
59.0,500.000992,1500.345728,0.8563,96
59.0,199.99512,600.16992,0.835,98
58.0,500.000992,1500.345728,0.8563,100
58.0,500.000992,1500.345728,0.8563,102
59.0,500.000992,1500.398464,0.8563,104
59.0,500.000992,1500.345728,0.8563,106
58.0,500.000992,1500.398464,0.8563,108
59.0,200.008304,600.117184,0.835,110
59.0,500.000992,1500.345728,0.8563,112
59.0,500.000992,1500.345728,0.8563,114
59.0,250.000496,750.146496,0.8563,116
59.0,500.000992,1500.398464,0.8563,118
60.0,500.000992,1500.345728,0.8563,120
58.0,200.008304,600.117184,0.835,122
59.0,500.000992,1500.398464,0.8563,124
59.0,499.987808,1500.345728,0.8563,126
59.0,199.99512,600.16992,0.835,128
59.0,500.000992,1500.398464,0.8563,130
59.0,500.000992,1500.398464,0.8563,132
59.0,500.000992,1500.345728,0.8563,134
59.0,500.000992,1500.398464,0.8563,136
58.0,500.000992,1500.398464,0.8563,138
58.0,250.000496,750.199232,0.8563,140
58.0,500.000992,1500.345728,0.8563,142
59.0,500.000992,1500.345728,0.8563,144
59.0,199.99512,600.16992,0.835,146
58.0,200.008304,600.16992,0.835,148
58.0,500.000992,1500.345728,0.8563,150
58.0,500.000992,1500.345728,0.8563,152
59.0,199.99512,600.16992,0.8563,154
58.0,200.008304,600.16992,0.835,156
58.0,199.99512,600.16992,0.835,158
57.0,499.987808,1500.398464,0.8563,160
57.0,500.000992,1500.398464,0.8563,162
59.0,199.99512,600.16992,0.835,164
59.0,500.000992,1500.398464,0.8563,166
59.0,500.000992,1500.345728,0.8563,168
58.0,200.008304,600.16992,0.8563,170
59.0,199.99512,600.117184,0.835,172
59.0,500.000992,1500.345728,0.8563,174
59.0,500.000992,1500.398464,0.8563,176
58.0,199.99512,600.117184,0.835,178
59.0,199.99512,600.16992,0.835,180
59.0,499.987808,1500.345728,0.8563,182
59.0,500.000992,1500.345728,0.8563,184
